Institute,Program,Seat Type,Gender,OR,CR
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),1771,1771
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",ST,Gender-Neutral,557,557
IIT Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,601,2464
IIT Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),4813,5969
IIT Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,176,176
IIT Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Female-only (including Supernumerary),198,198
IIT Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,385,500
IIT Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1139,1152
IIT Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",EWS (PwD),Gender-Neutral,23,23
IIT Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,800,1255
IIT Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2840,3552
IIT Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,86,86
IIT Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,443,735
IIT Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1124,1242
IIT Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",SC (PwD),Gender-Neutral,9,9
IIT Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,308,469
IIT Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),523,649
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,3133,7228
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",OPEN,Female-only (including Supernumerary),9368,10435
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",EWS,Gender-Neutral,986,1353
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),2621,2621
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,2801,3637
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),6467,6573
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",SC,Gender-Neutral,1436,2164
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),719,719
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",ST,Gender-Neutral,910,1140
IIT Bombay,"Chemistry (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),1540,1540
IIT Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2666,4250
IIT Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),6085,8597
IIT Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,62,202
IIT Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,522,725
IIT Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1442,1643
IIT Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",EWS (PwD),Gender-Neutral,10,10
IIT Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,973,1829
IIT Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3469,4597
IIT Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,80,30
IIT Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,444,946
IIT Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),824,1778
IIT Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,23,290
IIT Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),294,522
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1,66
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),29,369
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,1,4
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Female-only (including Supernumerary),12,12
